"shipname","captaina","yearam","fate","fate2","fate3","fate4","slamimp","vymrtrat"
"Pérola do Norte","Barbosa, Joaquim Gomes","1818","1","1","14","1","260","0.382422803"
"Esgueira","Domingues, Jerônimo","1818","1","1","14","1","500","0.143835616"
"Feliz Eugênia","Moraes, José de","1818","1","1","14","1","596","0.058451817"
"Reino do Brasil","Teixeira, José de Souza","1818","1","1","14","1","385","0.0375"
"Ligeiro","Assis, Francisco Antônio de","1818","1","1","14","1","433","0.01814059"
"Conde da Barca","Lopes, Francisco da Silva","1818","1","1","14","1","430","0.046563193"
"Grão Penedo","Pina, Antônio de","1818","1","1","14","1","420","0.018691589"
"Serpente","Santos, Manoel Pereira dos","1818","1","1","14","1","414","0.054794521"
"Pastora de Lima","Cunha, Eusébio José da","1818","1","1","14","1","400","0.164926931"
"Aurora do Cabo","Pederneira, Manoel Pereira","1818","1","1","14","1","341","0.206976744"
"Mariana Dáfne","Macedo, Joaquim Teixeira de","1818","1","1","14","1","326","0.055072464"
"NS do Livramento Telêmaco","Nunes, José Antônio","1818","1","1","14","1","509","0.059149723"
"Triunfo do Rio","Jaques, Malaquias Lisandro","1818","1","1","14","1","495","0.051724138"
"Famoso Ateneu","Fogaça, Antônio Gomes","1818","1","1","14","1","344","0.07027027"
"Feliz Carlota","Cardoso, Manoel Eusébio","1818","1","1","14","1","187","0.168888889"
"S José Diligente","Nunes, Francisco Pereira","1818","1","1","14","1","226","0.512931034"
"Ana do Rio","Oliveira, João José de","1818","1","1","14","1","317","0.070381232"
"Lusitânia","Fogaça, José Joaquim","1818","1","1","14","1","621","0.071748879"
"Amizade","Portela, Adriano","1818","1","1","14","1","428","0.121149897"
"S João Americano","Madeira, Manoel José","1818","1","1","14","1","329","0.158567775"
"Saudade do Sul","Rocha, João Manoel Pinto da","1818","1","1","14","1","259","0.094405594"
"Delfina","Rozo, Manoel Fernandes","1818","1","1","14","1","274","0.33007335"
"Olímpia","Blanchart, Manoel Pereira de Souza","1818","1","1","14","1","368","0.16553288"
"Voadora","Santos, José Pedro dos","1818","1","1","14","1","424","0.084233261"
"S José Diligente Vulcano","Alves, Isidoro","1818","1","1","14","1","385","0.132882883"
"Maria Tomásia","Melo, Francisco Xavier Álvares de","1818","1","1","14","1","281","0.078688525"
"União Feliz","Silva, Joaquim José da","1818","1","1","14","1","430","0.347496206"
"Emília","Almeida, André Germano Severino de","1818","1","1","14","1","290","0.260204082"
"S Rosa","Araújo, Tomás Raimundo Rodrigues de","1818","1","1","14","1","293","0.023333333"
"Príncipe Real","Marta, Inácio Alves","1818","1","1","14","1","319","0.247641509"
"Amália","Garcia, Francisco Correa","1818","1","1","14","1","751","0.079656863"
"Bonfim","Batalha, Luís Antônio","1818","1","1","14","1","540","0.055944056"
"General Silveira","Figueiredo, João Macário da Silva","1818","1","1","14","1","391","0.034567901"
"Voador","Pacheco, José dos Santos","1818","1","1","14","1","365","0.005449591"
"Patrocínio","Gomes, Manoel Luís","1818","1","1","14","1","239"," "
"Maria","Silva, Joaquim Henriques da","1818","1","1","14","1","467","0.027083333"
"Elisa","Carvalho, Antônio Joaquim de","1818","1","1","14","1","282","0.020833333"
"Diligente","Ferreira, Antônio José","1818","1","1","14","1","100","0.152542373"
"Luís","Coelho, Jacinto Fernandes","1818","1","1","14","1","513","0.098418278"
"S Pedro do Sul","Siqueira, João Inácio de","1818","1","1","14","1","431","0.020454545"
"Feliz Americano","Azevedo, Agostinho de","1818","1","1","14","1","290","0.003436426"
"Ludovino","Viana, José Pinto de Araújo","1818","1","1","14","1","407","0.00245098"
"Reino do Brasil","Teixeira, José de Souza","1818","1","1","14","1","334","0.002985075"
"Ligeiro","Assis, Francisco Antônio de","1818","1","1","14","1","324"," "
"Feliz Eugênia","Moraes, José de","1818","1","1","14","1","479","0.008281573"
"Mercúrio","Martins, Francisco José","1818","1","1","14","1","480","0.024390244"
"Ásia","Martins, Diogo José","1818","1","1","14","1","328","0.017964072"
"Feliz Carlota","Pereira, Albino Mariano dos Santos","1818","1","1","14","1","265"," "
"Esgueira","Silva, José dos Santos Almeida e","1818","1","1","14","1","396","0.272058824"
"Leopoldina","Cunha, Henrique Francisco da","1818","1","1","14","1","316","0.045317221"
"Serpente","Cunha, Eusébio José da","1818","1","1","14","1","293","0.218666667"
"Maria","Benoat","1820","1","1","14","1","160"," "
"Telus"," ","1820","1","1","14","1","178"," "
" "," ","1816","1","1","14","1","500"," "
" "," ","1816","1","1","14","1","507"," "
"Eleonora","Brito, Vítor de","1816","1","1","14","1","265"," "
"Rôdeur","Boucher","1819","172","1","8","3","160","0.2"
" "," ","1820","1","1","14","1","480"," "
"Aimable Henriette","Bréaut, J Auguste","1821","1","1","14","1","246"," "
"Daphnée","Allain","1821","170","1","8","3","150","0"
"Aurore","Deniel, Jean Baptiste","1821","1","1","14","1","82"," "
"Romano","Antônio, D José","1820","1","1","14","1","454"," "
"Caroline","Triarte, Felix","1819","184","1","8","3","240"," "
"Minerva","Sangredo, J S","1821","1","1","14","1","500"," "
"Atalanta","Peoli, J J","1821","1","1","14","1","570"," "
"Zéfiro","Brito, Vítor Nobre de","1821","1","1","14","1","205"," "
"NS de Pilar (a) L Zaragor","Sandeli, Juan","1821","1","1","14","1","392"," "
"Herculina","Garay, José","1821","1","1","14","1","390"," "
"Esencia","Brown, M","1821","1","1","14","1","113"," "
"Merced","Trasmussas, Juan","1821","1","1","14","1","306"," "
"Romana","Antônio, José","1821","1","1","14","1","249.8848"," "
"Africain","Quoniam, B C","1821","164","1","8","3","335.3"," "
"Antonica","Zorilla, J","1821","1","1","14","1","159.7414"," "
"S José Americano","Marques, Domingos Joaquim","1822","1","1","14","1","750","0.071782178"
"Golfinho","Braga, Antônio Manoel de Azevedo","1822","1","1","14","1","417"," "
"Aurora do Cabo","Pacheco, José Emídio Adauto","1822","1","1","14","1","298","0.394308943"
"S Filipe Londoffe"," ","1822","1","1","14","1","413","0.035046729"
"Paquete do Rio","Blanchart, Manoel Pereira de Souza","1822","1","1","14","1","460","0.021276596"
"Liberal","Machado, Manoel de Souza","1822","1","1","14","1","145"," "
"Amazona","Silva, Manoel Lopes da","1822","1","1","14","1","422","0.092473118"
"NS da Conceição Esperança","Carvalho, Agostinho J","1822","1","1","14","1","265","0.318766067"
"Pastora de Lima","Oliveira, José Malaquias de","1822","1","1","14","1","407","0.128479657"
"Esperança","Loureiro, Joaquim José da Silva","1822","1","1","14","1","402","0.067285383"
"Triunfo do Brasil","Carrilho, João Rodrigues","1822","1","1","14","1","401","0.246240602"
"NS da Guia","Silva, José Jorge da","1822","1","1","14","1","436","0.175803403"
"Maria Tomásia","Silva, José Pinto Ribeiro da","1822","1","1","14","1","410","0.127659574"
"Ulisses","Viana, Pedro José Correa","1822","1","1","14","1","418","0.337559429"
"Trajano","Silva, Manoel Francisco da","1822","1","1","14","1","460","0.004329004"
"Zéfiro","Melo, José Antônio de","1822","1","1","14","1","483","0.041666667"
"Mercúrio","Pereira, Anacleto de Jesus","1822","1","1","14","1","384","0.085714286"
"Leopoldina","Menezes, Antônio Joaquim de","1822","1","1","14","1","448","0.068607069"
"Mariana","Domingues, Jerônimo","1822","1","1","14","1","380","0.269230769"
"Minerva","Souza, Antônio José de","1822","1","1","14","1","475","0.17677643"
"Príncipe Regente","Santos, Antônio Teodoro dos","1822","1","1","14","1","664","0.024963289"
"Príncipe Real Duque de Bragança","Baduem, Joaquim Azevedo","1822","49","1","14","1","486"," "
"Vinte e Seis de Fevereiro","Branco, Paulo José","1822","1","1","14","1","455","0.269662921"
"NS da Boa Viagem Abismo","Brito, Antônio Luís Ribeiro de","1822","1","1","14","1","239","0.216393443"
"General Sampaio","Ferreira, Joaquim Francisco Xavier","1822","1","1","14","1","352","0.243010753"
"General Silveira","Freitas, Antônio Lourenço de","1822","1","1","14","1","406","0.117391304"
"Conde dos Arcos","Luz, Antônio da","1822","1","1","14","1","425","0.109014675"
"Mariana Dáfne","Oliveira, Sérgio Ferreira de","1822","1","1","14","1","375","0.217118998"
"Feliz Eugênia","Fogaça, Antônio Gomes","1822","1","1","14","1","455","0.322916667"
"S Antônio Destemido (a) S Amaro","Silva, Jacob Leandro da","1822","1","1","14","1","519","0.305220884"
"Maria","Marta, Inácio Alves","1822","1","1","14","1","379","0.154017857"
"S Rosa","Faria, Manoel de Jesus","1822","1","1","14","1","291","0.07028754"
"NS do Baluarte","Pinheiro, Luís José Soares","1822","1","1","14","1","203","0.514354067"
"S José Diligente Vulcano","Costa, Silvestre Manoel Pereira da","1822","1","1","14","1","362","0.071794872"
"NS da Conceição e Sr dos Passos","Santos, José Vitorino dos","1822","1","1","14","1","400","0.109131403"
"Reino do Brasil","Maia, Manoel Rodrigues","1822","1","1","14","1","388","0.087058824"
"Grão Penedo","Salazar, José Pereira","1822","1","1","14","1","432","0.058823529"
"Urânia","Gomes, Manoel de Souza","1822","1","1","14","1","268","0.112582781"
"Amália","Batalha, Luís Antônio","1822","1","1","14","1","607","0.201315789"
"Santana Flor de Luanda","Lopes, Francisco da Silva","1822","1","1","14","1","533","0.022018349"
"Ligeiro","Santos, Francisco dos","1822","1","1","14","1","390","0.044117647"
"S José Diligente","Branco, Antônio Rodrigues","1822","1","1","14","1","428"," "
"Mercantil","Rodrigues, Francisco Manoel de","1822","1","1","14","1","695","0.051841746"
"Seis de Fevereiro"," ","1822","1","1","14","1","466","0.002141328"
"Flor do Brasil","Costa, João Lopes da","1822","1","1","14","1","572","0.126717557"
"Caçador","Oliveira, Francisco de Paula Neves de","1822","1","1","14","1","535","0.100840336"
"Tejo","Sá, José Ferreira de","1822","1","1","14","1","376","0.203389831"
"Adamastor","Seixas, Valeriano José de","1822","1","1","14","1","524","0.001904762"
"Marquês de Pombal","Azevedo, José Francisco de","1822","1","1","14","1","298","0.006666667"
"Vitória"," ","1822","1","1","14","1","100"," "
"General Rêgo","Pereira, Albino Mariano dos Santos","1822","1","1","14","1","467","0.093203883"
"Polifemo","Santos, Antônio Teodoro dos","1822","1","1","14","1","434","0.00913242"
"Trajano","Melo, Francisco José de","1822","1","1","14","1","407","0.007317073"
"Bela Americana","Chaves, José Joaquim","1822","1","1","14","1","351"," "
"Golfinho","Braga, Antônio Manoel de Azevedo","1822","1","1","14","1","470"," "
"Paquete do Rio","Blanchart, Manoel Pereira de Souza","1822","1","1","14","1","495","0.008016032"
"Esperança","Loureiro, Joaquim José da Silva","1822","1","1","14","1","561","0.022648084"
"Esperança","Pacheco, José dos Santos","1822","1","1","14","1","425","0.013921114"
"Imperador Feliz","Pereira, Francisco Manoel","1822","1","1","14","1","541","0.123176661"
"Aurora do Cabo","Pacheco, José Emídio Adauto","1822","1","1","14","1","452","0.09054326"
"Triunfo do Brasil","Neves, Maximiliano José das","1822","1","1","14","1","335","0.00887574"
"Africano Constitucional"," ","1822","1","1","14","1","590","0.076682316"
"NS da Conceição e Sr dos Passos","Santos, José Vitorino dos","1822","1","1","14","1","418","0.073170732"
"Pastora de Lima","Oliveira, José Malaquias de","1822","1","1","14","1","460","0.014989293"
"Santana Flor da África","Almeida, Manoel Joaquim de","1822","1","1","14","1","216","0.052631579"
"Sacramento","Santos, José Martins dos","1822","49","1","14","1","196","0.024875622"
"Alegria dos Anjos","Porto, Antônio Ribeiro","1822","1","1","14","1","168","0.011764706"
"Lusitânia","Neto, Miguel Antônio","1822","1","1","14","1","165","0.046242775"
"Rosália","Alberto, Caetano","1822","1","1","14","1","146","0.039473684"
"Desengano Feliz"," ","1822","1","1","14","1","390","0.044117647"
"Bonfim","Neves, Pascoal de Souza","1822","1","1","14","1","57","0.185714286"
"Vitória","Santos, Manoel Cardoso dos","1822","1","1","14","1","412","0.021377672"
"Paquete da Bahia","Cardoso, Manoel Isidoro","1822","1","1","14","1","300","0.022801303"
"Vigilante Guerreiro","Pontes, João Antônio","1822","1","1","14","1","233"," "
"Paz e União","Silva, André Pinto da","1822","1","1","14","1","355","0.043126685"
"Bela Astrea","Guimarães, Manoel José da Silveira","1822","1","1","14","1","40","0.069767442"
"Fé"," ","1822","1","1","14","1","48"," "
"Americana","Ribeiro, José da Conceição","1822","1","1","14","1","44","0.063829787"
"Lucrécia","Noronha, Manoel Joaquim de","1822","1","1","14","1","290","0.046052632"
"Voador","Pereira, Manoel Joaquim","1822","1","1","14","1","94"," "
"Cisne","Almeida, Manoel Gomes de","1822","1","1","14","1","409","0.023866348"
"Maria da Glória","Teixeira, João Vicente da","1822","1","1","14","1","381","0.035443038"
"Toninha","Silva, Antônio José da","1822","49","1","14","1","256","0.044776119"
"Zéfiro","Rios, Marcelino Álvares da Cruz","1822","1","1","14","1","357","0.060526316"
"Sacramento","Veloso, José Joaquim","1822","1","1","14","1","185","0.065656566"
"S João e Segunda Rosália","Sabino, João","1822","1","1","14","1","160","0.047619048"
"Primeira Estrela","Rodrigues, Cosme José","1822","49","1","14","1","170","0.05027933"
"Vigilante","Costa, João Martins da","1822","1","1","14","1","243","0.012195122"
"Alegria dos Anjos","Porto, Antônio Ribeiro","1822","1","1","14","1","315","0.051204819"
"NS da Conceição","Miranda, Manoel Joaquim de","1822","1","1","14","1","352","0.035616438"
"Afra","Neves, Pascoal de Souza","1822","1","1","14","1","182","0.021505376"
"Amazona","Batista, Martinho José","1822","1","1","14","1","226"," "
"União","Cruz, Marcelino Álvares da","1822","1","1","14","1","297"," "
"Maria da Glória","Fonseca, João José da","1822","1","1","14","1","381","0.020565553"
"Divina Providência","Coelho, João Batista","1822","1","1","14","1","173","0.028089888"
"Constituição","Araújo, Joaquim Luís de","1822","1","1","14","1","263","0.003787879"
"Lusitânia","Neto, Miguel Antônio","1822","1","1","14","1","196"," "
"Trident","Borbascan, T","1823","178","1","8","3","126","0.303867403"
"Théodore","Lecuyer, J L","1822","182","1","8","3","174","0.445859873"
"Trajano","Carvalho, Francisco Cândido da Silva e","1821","1","1","14","1","408","0.019230769"
"Caçador","Vieira, Manoel","1821","1","1","14","1","549","0.014362657"
"Mercúrio","Santos, José Joaquim dos","1821","1","1","14","1","396","0.068235294"
"Patrocínio","SIlva, Manoel Francisco da","1821","1","1","14","1","194","0.649819495"
"Tejo","Oliveira, João José de","1821","1","1","14","1","632","0.362903226"
"Quatro de Abril","Silva, Joaquim Rodrigues da","1821","1","1","14","1","342","0.055248619"
"Especulação","Silva, Manoel Pacheco da","1821","1","1","14","1","511","0.021072797"
"Lucônia","Costa, Desidério Manoel da","1821","1","1","14","1","241","0.303468208"
"Duque de Bragança","Gomes, Manoel José","1821","1","1","14","1","270","0.468503937"
"Paquete do Rio","Santos, Casemiro Lúcio dos","1821","1","1","14","1","311","0.346638655"
" "," ","1821","1","1","14","1","385","0.146341463"
"Minerva","Cardoso, Manoel","1821","49","1","14","1","290","0.328703704"
"Júlia","Cunha, Eusébio José da","1821","1","1","14","1","291","0.327944573"
"Feliz Carlota","Oliveira, Ventura José de","1821","1","1","14","1","267","0.384792627"
"Pastora de Lima","Luz, Antônio da","1821","1","1","14","1","260","0.228486647"
"Elisa","Silva, Manoel Inácio da","1821","1","1","14","1","342","0.316"
"Maria Tomásia","Magalhães, João de Melo","1821","1","1","14","1","367","0.044270833"
"Leopoldina","Silva, João Henriques da","1821","1","1","14","1","433","0.048351648"
"Esperança","Loureiro, Joaquim José da Silva","1821","1","1","14","1","385","0.337349398"
"S Rosa","Faria, Manoel de Jesus","1821","1","1","14","1","395","0.083526682"
"S José Diligente Vulcano","Oliveira, José Malaquias de","1821","1","1","14","1","287","0.080128205"
"NS da Guia Morgado do Almeo","Silva, José Jorge da","1821","1","1","14","1","430","0.044444444"
"Grão Penedo","Oliveira, Sérgio Ferreira de","1821","1","1","14","1","281","0.248663102"
"Conde dos Arcos","Mignani, Joaquim Vicente","1821","1","1","14","1","439","0.047722343"
"Reino do Brasil","Lopes, Francisco da Silva","1821","1","1","14","1","378","0.284090909"
"S José Diligente Vulcano","Santos, José Maria dos","1821","1","1","14","1","225","0.307692308"
"NS do Baluarte","Castro, Nicolau Joaquim de","1821","1","1","14","1","365","0.026666667"
"NS da Conceição e Sr dos Passos","Santos, José Vitorino dos","1821","1","1","14","1","113","0.440594059"
" "," ","1821","1","1","14","1","429","0.046666667"
"S Antônio Destemido","Silva, José Leite da","1821","1","1","14","1","680","0.082321188"
"Emília","Leonardo, Severo","1821","124","1","3","3","354","0.146987952"
"Santana Flor de Luanda","Pereira, Silvestre Manoel","1821","1","1","14","1","514","0.091872792"
"Feliz Dias","Pereira, Albino Mariano dos Santos","1821","1","1","14","1","227","0.106299213"
"Mariana Dáfne","Branco, Antônio Rodrigues","1821","1","1","14","1","460","0.043659044"
"Ligeiro","Silva, José Pereira da","1821","1","1","14","1","339","0.169117647"
"Amália","Batalha, Luís Antônio","1821","1","1","14","1","734","0.032938076"
"Urânia","Coelho, Manoel Gomes","1821","1","1","14","1","270","0.111842105"
"Mercantil","Rodrigues, Francisco de Paula","1821","1","1","14","1","683","0.080753701"
"General Rêgo","Pena, José Antônio","1821","1","1","14","1","452","0.11372549"
"Bela Americana","Fernandes, José Antônio","1821","1","1","14","1","374","0.244444444"
"Indústria","Lourenço, Valério","1821","49","1","14","1","496","0.029354207"
"Seis de Fevereiro","Cruz, José Joaquim da","1821","1","1","14","1","449","0.002222222"
"Imperador Feliz","Pereira, Francisco Manoel","1821","1","1","14","1","507","0.124352332"
"S Pedro do Sul","Lima, José Joaquim de","1821","1","1","14","1","390","0.041769042"
"Luís","Silva, Caetano Alberto da","1821","1","1","14","1","500","0.080882353"
"Henriqueta","Pientenauzer, Firmo Antônio","1821","1","1","14","1","561","0.020942408"
"Tejo","Oliveira, Antônio Xavier de","1821","1","1","14","1","388","0.170940171"
"Feliz Americano","Henriques, João Militão","1821","1","1","14","1","446"," "
"Polifemo","Pedrosa, Manoel Carvalho","1821","1","1","14","1","394","0"
"Caçador","Gonçalves, Joaquim José","1821","1","1","14","1","523","0.141215107"
" "," ","1821","1","1","14","1","516","0.132773109"
"Novo Despique","Teixeira, Jacinto Alves","1821","49","1","14","1","322","0.284444444"
"Patrocínio","Pederneira, Manoel Pereira","1821","1","1","14","1","310","0.134078212"
" "," ","1822","1","1","14","1","500"," "
"Delfim","Almeida, Francisco Joaquim de","1822","1","1","14","1","137","0.380090498"
"Triunfo da Inveja","Silva, João Batista da","1822","1","1","14","1","38","0.709923664"
"S José Diligente Vulcano","Alves, Isidoro","1822","1","1","14","1","410","0.019138756"
"General D Antônio","Coelho, João Antônio","1822","1","1","14","1","224","0.093117409"
"Bom Caminho","Couto, João Batista do","1822","49","1","14","1","441","0.088842975"
"Maria","Chaves, Antônio dos Santos","1822","1","1","14","1","130"," "
"Maria da Glória"," ","1822","1","1","14","1","380","0.007832898"
"Lucrécia","Noronha, Manoel Joaquim de","1823","1","1","14","1","279","0.044520548"
"Santana Flor de Cintra","Martins, Diogo Cândido","1823","1","1","14","1","440","0.105691057"
"Zéfiro","Monteiro, José Albuquerque Xavier","1823","1","1","14","1","407","0.021634615"
"Desengano Feliz","Vieira, Francisco Manoel","1823","1","1","14","1","444","0.030567686"
"Príncipe Regente","Pedrosa, Manoel Carvalho","1823","1","1","14","1","689","0.060027285"
"Trajano","Cunha, Eusébio José da","1823","1","1","14","1","493","0.046421663"
"Bom Jesus Triunfo","Silveira, Manoel José da","1823","1","1","14","1","461","0.123574144"
"Henriqueta","Pientenauzer, Firmo Antônio","1823","1","1","14","1","532","0.018450185"
"Amazona","Ferreira, Antônio José","1823","1","1","14","1","457","0.017204301"
"Mariana","Domingues, Jerônimo","1823","1","1","14","1","441","0.151923077"
"Nove de Janeiro","Almeida, Antônio Pedro de","1823","1","1","14","1","528","0.111111111"
"Leopoldina","Menezes, Antônio Joaquim de","1823","1","1","14","1","280","0.417879418"
"Minerva","Braga, João Ribeiro de Castro","1823","1","1","14","1","395","0.102272727"
"NS da Guia","Silva, José Jorge da","1823","1","1","14","1","240","0.289940828"
"Mercúrio","Ferreira, José Nicolau","1823","1","1","14","1","490","0.023904382"
"S Antônio Destemido","Silva, José Leite da","1823","1","1","14","1","630","0.003164557"
"S Rosa","Faria, Manoel de Jesus","1823","1","1","14","1","321","0.03021148"
"Amália","Batalha, Luís Antônio","1823","1","1","14","1","661","0.044797688"
"Feliz Eugênia","Fogaça, Antônio Gomes","1823","1","1","14","1","567","0.102848101"
"Santana Flor de Luanda","Lontra, Rafael Inácio da Fonseca","1823","1","1","14","1","433","0.165703276"
"Novo Despique","Teixeira, Jacinto Alves","1823","1","1","14","1","436","0.009090909"
"Luís","Campos, Veríssimo de","1823","1","1","14","1","455","0.091816367"
"D Ana","Jordão, Manoel da Mota","1823","1","1","14","1","315","0.065281899"
"S Joaquim Guerreiro"," ","1823","1","1","14","1","161"," "
"Grão Penedo","Santos, José Pedro dos","1823","76","1","10","3","260","0.502868069"
"Mercantil","Rodrigues, Francisco de Paula","1823","1","1","14","1","625","0"
"Trajano","Melo, Francisco José de","1823","1","1","14","1","460"," "
"Paquete do Rio","Blanchart, Manoel Pereira de Souza","1823","1","1","14","1","487","0.006122449"
"Bela Americana","Silva, José da","1823","1","1","14","1","394","0.064133017"
"Bom Jesus Triunfo","Marques, José Gregório Maria","1823","1","1","14","1","497","0.132635253"
"Polifemo","Lopes, João Crisóstomo Rodrigues","1823","1","1","14","1","353.1588"," "
"Príncipe Real","Melo, Bento Joaquim de","1823","1","1","14","1","547","0.021466905"
"Imperador do Brasil","Silva, Joaquim Pereira da","1823","1","1","14","1","446","0.026200873"
"Desengano Feliz","Vieira, Francisco Manoel","1823","1","1","14","1","510","0.030418251"
"D Ana","Jordão, Manoel da Mota","1823","1","1","14","1","314","0.062686567"
"Africano Constitucional","Henriques, João Militão","1823","1","1","14","1","744","0.018469657"
"Príncipe Regente","Pereira, Francisco Manoel","1823","1","1","14","1","607","0.17414966"
"Triunfo do Brasil","Carvalho, João Rodrigues","1823","1","1","14","1","590","0.016666667"
"Urânia","Gomes, Manoel de Souza","1823","1","1","14","1","290","0.039735099"
"Marquês de Pombal","Félix, Inácio José","1823","1","1","14","1","434","0.044052863"
"NS da Conceição e Sr dos Passos","Santos, José Vitorino dos","1823","1","1","14","1","424","0.057777778"
"Descamisada","Sandrino, Juan","1823","1","1","14","1","300"," "
"Louise","Precan","1822","164","1","8","3","159.7"," "
"Mo Josefa","Zabala, J B","1822","1","1","14","1","159.7414"," "
"Paquete","Neves, J M","1822","1","1","14","1","159.7414"," "
"Irène","Pavillon, P du","1822","172","1","8","3","288"," "
"Rose","Thomas, M","1822","1","1","14","1","249.8848"," "
"Adolphe","Decaen","1822","4","1","1","2","159.7"," "
"Aimable Henriette","Gazoux, Charles","1822","1","1","14","1","249.8848"," "
"Marie","Guyot, H","1822","183","1","8","3","176"," "
"Aimable Socorro","Inza, Jozé","1822","1","1","14","1","159.7414"," "
"Paquete","Neves, J M","1822","1","1","14","1","159.7414"," "
"Coureur","Verrier, M","1823","1","1","14","1","249.8848"," "
